ds,Product,State,actual_count,topic,topic_count,topic_keywords,topic_interpretation,year,month_num,forecast_count,model
2020-11-01,CHECKING OR SAVINGS ACCOUNT,DC,4.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,11,,
2020-12-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2020,12,,
2021-01-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,1,,
2021-02-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,2,,
2021-03-01,CHECKING OR SAVINGS ACCOUNT,DC,3.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,3,,
2021-04-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,4,,
2021-05-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,5,,
2021-06-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,6,,
2021-07-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,7,,
2021-08-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,8,,
2021-09-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,9,,
2021-10-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,10,,
2021-12-01,CHECKING OR SAVINGS ACCOUNT,DC,2.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2021,12,,
2022-02-01,CHECKING OR SAVINGS ACCOUNT,DC,1.0,1.0,844.0,"bank, was, card, they, the",Card-related dispute or transaction issue,2022,2,,
