Product,State
CHECKING OR SAVINGS ACCOUNT,GA
CHECKING OR SAVINGS ACCOUNT,MI
CHECKING OR SAVINGS ACCOUNT,NC
CHECKING OR SAVINGS ACCOUNT,NY
CHECKING OR SAVINGS ACCOUNT,TX
DEBT COLLECTION,NJ
DEBT COLLECTION,TN
DEBT COLLECTION,VA
MORTGAGE,CA
MORTGAGE,FL
MORTGAGE,TX
MORTGAGE,VA
CHECKING OR SAVINGS ACCOUNT,TN
MORTGAGE,NY
MORTGAGE,OH
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",IL
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",NC
MORTGAGE,WA
STUDENT LOAN,CA
VEHICLE LOAN OR LEASE,NC
DEBT COLLECTION,DE
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",AZ
MORTGAGE,LA
VEHICLE LOAN OR LEASE,OH
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",CO
VEHICLE LOAN OR LEASE,MD
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",MO
VEHICLE LOAN OR LEASE,AZ
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",SC
DEBT COLLECTION,ID
VEHICLE LOAN OR LEASE,MA
VEHICLE LOAN OR LEASE,SC
CHECKING OR SAVINGS ACCOUNT,DC
STUDENT LOAN,NJ
CHECKING OR SAVINGS ACCOUNT,DE
MORTGAGE,AL
MORTGAGE,WI
VEHICLE LOAN OR LEASE,AL
VEHICLE LOAN OR LEASE,IN
VEHICLE LOAN OR LEASE,MO
STUDENT LOAN,NC
CHECKING OR SAVINGS ACCOUNT,KS
STUDENT LOAN,MA
STUDENT LOAN,SC
CHECKING OR SAVINGS ACCOUNT,NM
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",CT
STUDENT LOAN,AZ
STUDENT LOAN,TN
MORTGAGE,KS
CHECKING OR SAVINGS ACCOUNT,NH
DEBT COLLECTION,ME
STUDENT LOAN,IN
STUDENT LOAN,LA
DEBT COLLECTION,NH
VEHICLE LOAN OR LEASE,CO
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",OK
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",AR
VEHICLE LOAN OR LEASE,WI
CREDIT CARD OR PREPAID CARD,FL
CREDIT CARD OR PREPAID CARD,GA
CREDIT CARD OR PREPAID CARD,MA
CREDIT CARD OR PREPAID CARD,MI
CREDIT CARD OR PREPAID CARD,NV
